mexdem,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
1657,22,230,19,303,90,4,131,587,155,197,156
1900,17,330,14,526,100,4,206,905,166,192,166
2000,29,271,20,400,91,5,163,753,154,193,148
1245,150,342,110,876,77,32,353,1646,170,203,187
1882,26,273,21,388,92,6,167,722,155,181,154
1636,45,346,33,454,85,9,200,982,170,194,164
1402,34,77,21,600,103,4,216,986,199,240,213
1249,15,175,14,460,103,2,167,729,204,245,217
2054,33,218,32,318,82,8,124,635,127,179,136
1865,28,258,25,360,91,6,157,689,155,184,154
1893,47,281,37,463,89,11,181,870,147,176,147
1579,14,261,10,374,96,2,160,670,184,224,179
1585,15,248,10,352,93,2,149,638,174,216,172
1690,15,188,13,235,94,4,108,475,159,206,160
2247,20,189,20,327,84,5,115,590,130,174,122
