EntidadFederativa,Total2010,Total2012,Total2014,Total2016,Total2018,Total2020,Total2022,Total2024,Hombres2024,Mujeres2024
Aguascalientes,75.7,76.1,76.5,76.3,76.6,70.1,76.5,76.8,73.8,80.1
Baja California,75,75.4,75.9,76.2,76.2,68.9,76.2,76.6,73.6,79.8
Baja California Sur,76.2,76.6,76.3,76.2,76.8,72.5,76.8,77.2,74.3,80.3
Campeche,74.4,75.1,75.1,74.5,74.1,68,74.1,74.5,71.4,77.9
Chiapas,72,73.2,73.3,72.7,72.6,67.9,72.6,73,69.8,76.4
Chihuahua,75.2,75.9,76.1,76,76.3,69.5,76.3,76.6,73.7,79.8
CDMX,76.3,76.7,77.1,76.7,76.6,69.2,76.5,76.8,73.8,80
Coahuila de Zaragoza,76.5,76.9,76.9,76.7,76.8,69.9,76.8,77.1,74.1,80.3
Colima,75.5,76,75.8,75.5,75.8,72.1,75.8,76.2,73.1,79.4
Durango,74.1,74.6,75.3,75.1,75.2,69.8,75.2,75.5,72.5,78.8
Guanajuato,73.9,74.8,74.8,74.5,74.6,68.3,74.5,74.9,71.9,78.2
Guerrero,72.3,73.2,73.3,73,72.8,69.1,72.7,73.1,70,76.5
Hidalgo,73.4,74.2,74.5,73.6,73.6,68.2,73.5,73.9,70.8,77.3
Jalisco,74.8,75.5,76,75.5,75.7,71.2,75.7,76,73,79.3
México,74.3,74.7,74.8,74.8,74.8,66.7,74.7,75.1,72.1,78.4
Michoacán de Ocampo,73.1,73.8,74,73.4,73.8,69.4,73.7,74.1,71,77.5
Morelos,73.9,74.7,74.6,74.3,74,68.4,73.9,74.3,71.2,77.7
Nayarit,74.4,74.7,75.5,75.1,75.2,71.6,75.3,75.6,72.6,78.9
Nuevo León,77.4,77.5,77.9,77.8,77.4,71.6,77.4,77.7,74.8,80.9
Oaxaca,72.7,73.7,73.6,72.8,73,68.8,72.9,73.3,70.1,76.7
Puebla,73,73.6,73.9,73.6,73.6,67.3,73.5,73.9,70.8,77.3
Querétaro,74.7,75.6,75.7,75.6,76,70.4,75.9,76.3,73.3,79.5
Quintana Roo,75.1,75.6,75.6,75.6,75.6,68.6,75.6,76,73,79.2
San Luis Potosí,74.2,74.7,74.9,74.7,74.9,68.4,74.9,75.3,72.2,78.6
Sinaloa,74.7,75.4,75.5,75.6,75.8,70.2,75.8,76.1,73.1,79.4
Sonora,75.6,76.2,76.5,76.2,76.4,69.9,76.4,76.8,73.8,80
Tabasco,72.9,74.1,73.9,73.3,73.4,67,73.4,73.8,70.7,77.2
Tamaulipas,75.1,75.8,75.9,75.7,75.5,70.5,75.5,75.9,72.8,79.1
Tlaxcala,73.2,74,73.9,73.7,73.9,65.2,73.8,74.2,71.1,77.6
Veracruz de Ignacio de la Llave,73.4,74,74.1,73.6,73.4,69.3,73.3,73.7,70.6,77.1
Yucatán,74.2,74.7,75,74.5,74.6,70.7,74.6,75,72,78.3
Zacatecas,73.4,74.8,74.5,74.1,74,67.7,74,74.4,71.2,77.8
